"File","RouteHint","Kind","Dashboard","Wizard","UsesPageTemplate","PageTemplateImport","UsesHeaderBanner","HeaderBannerImport","TitleLiteral","CurrentSectionLiteral","HeaderModeWizard","ModeWizard","UsesFormatUkDate","UsesUkPayScheduleDate","UsesActiveCompanyApi"
"C:\Users\adamm\Projects\wageflow01\app\absence\page.tsx","absence/page.tsx","page.tsx","False","False","False","","False","","Absence","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\auth\callback\page.tsx","auth/callback/page.tsx","page.tsx","False","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\auto-enrollment\page.tsx","auto-enrollment/page.tsx","page.tsx","False","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\[id]\edit\page.tsx","dashboard/absence/[id]/edit/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Edit absence","absence","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\layout.tsx","dashboard/absence/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\list\page.tsx","dashboard/absence/list/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\adoption\page.tsx","dashboard/absence/new/adoption/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Absence","absence","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\annual\page.tsx","dashboard/absence/new/annual/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Annual leave","absence","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\layout.tsx","dashboard/absence/new/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\maternity\page.tsx","dashboard/absence/new/maternity/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Maternity absence","absence","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\page.tsx","dashboard/absence/new/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","New absence","absence","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\parental-bereavement\page.tsx","dashboard/absence/new/parental-bereavement/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\paternity\page.tsx","dashboard/absence/new/paternity/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Paternity leave","absence","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\shared-parental\page.tsx","dashboard/absence/new/shared-parental/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Shared parental leave","absence","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\new\sickness\page.tsx","dashboard/absence/new/sickness/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Sickness absence","absence","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\page.tsx","dashboard/absence/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Absence","absence","False","False","True","True","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\absence\requests\page.tsx","dashboard/absence/requests/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\ai\page.tsx","dashboard/ai/page.tsx","page.tsx","True","False","False","","True","@/components/ui/HeaderBanner","AI Copilot test","dashboard","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\companies\layout.tsx","dashboard/companies/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\companies\new\page.tsx","dashboard/companies/new/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\companies\page.tsx","dashboard/companies/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\edit\details\page.tsx","dashboard/employees/[id]/edit/details/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\edit\page.tsx","dashboard/employees/[id]/edit/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\page.tsx","dashboard/employees/[id]/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\payroll\page.tsx","dashboard/employees/[id]/payroll/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\wizard\bank\page.tsx","dashboard/employees/[id]/wizard/bank/page.tsx","page.tsx","True","True","True","@/components/ui/PageTemplate","False","","Bank Details","employees","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\wizard\emergency\page.tsx","dashboard/employees/[id]/wizard/emergency/page.tsx","page.tsx","True","True","True","@/components/ui/PageTemplate","False","","Emergency Contact","employees","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\wizard\layout.tsx","dashboard/employees/[id]/wizard/layout.tsx","layout.tsx","True","True","True","","False","","","","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\wizard\leaver\page.tsx","dashboard/employees/[id]/wizard/leaver/page.tsx","page.tsx","True","True","True","@/components/ui/PageTemplate","False","","Leaver details","employees","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\wizard\p45\page.tsx","dashboard/employees/[id]/wizard/p45/page.tsx","page.tsx","True","True","True","@/components/ui/PageTemplate","False","","P45 Details","employees","True","True","True","True","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\[id]\wizard\starter\page.tsx","dashboard/employees/[id]/wizard/starter/page.tsx","page.tsx","True","True","True","@/components/ui/PageTemplate","False","","Starter Details","employees","True","True","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\directory\page.tsx","dashboard/employees/directory/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\import\page.tsx","dashboard/employees/import/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\layout.tsx","dashboard/employees/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\leaver\page.tsx","dashboard/employees/leaver/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Leaver wizard","employees","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\new\page.tsx","dashboard/employees/new/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Employees","Employees","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\page.tsx","dashboard/employees/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Employees","Employees","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\employees\tax-codes\page.tsx","dashboard/employees/tax-codes/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\layout.tsx","dashboard/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\page.tsx","dashboard/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Dashboard","Dashboard","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\[id]\page.tsx","dashboard/payroll/[id]/page.tsx","page.tsx","True","False","False","","False","","Approve and queue FPS","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\[id]\payslip\[employeeId]\page.tsx","dashboard/payroll/[id]/payslip/[employeeId]/page.tsx","page.tsx","True","False","False","","False","","Payslip","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\batch\page.tsx","dashboard/payroll/batch/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\layout.tsx","dashboard/payroll/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\new\layout.tsx","dashboard/payroll/new/layout.tsx","layout.tsx","True","False","True","@/components/layout/PageTemplate","False","","Payroll","Payroll","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\new\page.tsx","dashboard/payroll/new/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\overtime-rates\page.tsx","dashboard/payroll/overtime-rates/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\page.tsx","dashboard/payroll/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Payroll","Payroll","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\pay-elements\page.tsx","dashboard/payroll/pay-elements/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\payroll\schedules\page.tsx","dashboard/payroll/schedules/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\preview\page.tsx","dashboard/preview/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\reports\layout.tsx","dashboard/reports/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\reports\page.tsx","dashboard/reports/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Reports","Reports","False","False","False","False","True"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\rti\page.tsx","dashboard/rti/page.tsx","page.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\settings\calendars\page.tsx","dashboard/settings/calendars/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\settings\company\page.tsx","dashboard/settings/company/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\settings\integrations\page.tsx","dashboard/settings/integrations/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\settings\layout.tsx","dashboard/settings/layout.tsx","layout.tsx","True","False","False","","False","","","","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\settings\page.tsx","dashboard/settings/page.tsx","page.tsx","True","False","True","@/components/layout/PageTemplate","False","","Settings","Settings","False","False","False","False","False"
"C:\Users\adamm\Projects\wageflow01\app\dashboard\settings\users\page.tsx","dashboard/settings/users/page.tsx","page.tsx","True","False","False","","True","","","","False","False","False","False","False"
